Event	ID	Name			Wwise Object Path	Notes
	453361443	Play_Werwolves_Death			\Default Work Unit\Play_Werwolves_Death	
	675291117	Play_Clock_Pendulum			\Default Work Unit\Play_Clock_Pendulum	
	832083148	Play_Werwolves_Footsteps			\Default Work Unit\Play_Werwolves_Footsteps	
	3021857173	Play_Werwolves_Punshes			\Default Work Unit\Play_Werwolves_Punshes	
	3966965874	Play_Werwolves_Hit			\Default Work Unit\Play_Werwolves_Hit	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	5463484	Werwolves_Step2	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\Werwolves_Step2_F8759906.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Footsteps\Footsteps\Toe\Werwolves_Step2		140784
	301817558	Klick_Low	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\Standart Klicken der Standuhr_10332BA8.wem		\Actor-Mixer Hierarchy\Default Work Unit\Clock\Pendulum\Pendulum\Klick_Low		118224
	339717517	ANIMAL-DOG-SNARL_5	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\ANIMAL-DOG-SNARL_6EXT8-10122_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Punshes\Punshes\ANIMAL-DOG-SNARL_5		446528
	355110932	Werwolves_Step3	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\Werwolves_Step3_69159E0F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Footsteps\Footsteps\Toe\Werwolves_Step3		138100
	357962909	Werwolves_Step4	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\Werwolves_Step4_E8001928.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Footsteps\Footsteps\Toe\Werwolves_Step4		81300
	396447920	ANIMAL-DOG-SNARL_2	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\ANIMAL-DOG-SNARL_6EXT8-10117_A639B13B.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Punshes\Punshes\ANIMAL-DOG-SNARL_2		457024
	428452335	ANIMAL-DOG-WHINE_3	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\ANIMAL-DOG-WHINE_6EXT8-10136_C0EC14E5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Death\Death\ANIMAL-DOG-WHINE_3		360488
	455734199	Werwolves_Step1	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\Werwolves_Step1_6E85721E.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Footsteps\Footsteps\Toe\Werwolves_Step1		137800
	589970338	Werwolves_Step7	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\Werwolves_Step7_765608CD.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Footsteps\Footsteps\Toe\Werwolves_Step7		65848
	611095656	ANIMAL-DOG-WHINE_4	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\ANIMAL-DOG-WHINE_6EXT8-10138_AAA80CB3.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Death\Death\ANIMAL-DOG-WHINE_4		451436
	618518192	Werwolves_Step6	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\Werwolves_Step6_12B5555B.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Footsteps\Footsteps\Toe\Werwolves_Step6		71132
	725548632	Hit_3	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\Hit 4 Mittel_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Hit\Hit\Hit_3		74464
	808348623	ANIMAL-DOG-WHINE_2	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\ANIMAL-DOG-WHIMPER_6EXT8-10134_E3618338.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Death\Death\ANIMAL-DOG-WHINE_2		281324
	816440067	ANIMAL-DOG-SNARL_3	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\ANIMAL-DOG-SNARL_6EXT8-10120_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Punshes\Punshes\ANIMAL-DOG-SNARL_3		403520
	843578874	Hit_5	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\Treffer(lufs Fehlt)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Hit\Hit\Hit_5		86716
	888188494	ANIMAL-DOG-SNARL_1	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\ANIMAL-DOG-SNARL-GROWL_6EXT8-10125_D3BCFB5A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Punshes\Punshes\ANIMAL-DOG-SNARL_1		605360
	916519863	Werwolves_Step5	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\Werwolves_Step5_F5393AD4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Footsteps\Footsteps\Toe\Werwolves_Step5		81104
	952339481	Hit_1	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\Hit 3 Leicht_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Hit\Hit\Hit_1		86464
	1006131049	ANIMAL-DOG-SNARL_4	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\ANIMAL-DOG-SNARL_6EXT8-10121_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Punshes\Punshes\ANIMAL-DOG-SNARL_4		467008
	1017774219	ANIMAL-DOG-WHINE_1	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\ANIMAL-DOG-WHIMPER_6EXT8-10134_E36C00EE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Werwolves\Death\Death\ANIMAL-DOG-WHINE_1		284964
	1052346201	Klick_High	Y:\Desktop\Vision-Resonare-master\VisionResonare\VisionResonare_WwiseProject\.cache\Mac\SFX\Standart Klicken der Standuhr_9D2B5B2F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Clock\Pendulum\Pendulum\Klick_High		136740

